time ch1 ch2 ch3 ch4 ch5 ch6 ch7 ch8 label
13 -4.5792868826353755e-05 1.1454120140587175e-05 -2.375055137276453e-05 -8.475826897514062e-06 2.100770343643489e-05 -4.318301057980872e-05 1.0860591088646434e-05 5.943390058306948e-06 1
14 -7.749591883775109e-06 -2.8428910868287676e-05 1.8032376928467378e-06 -1.3237317726595061e-05 5.816905283867599e-06 5.46303638086072e-07 4.004447228302289e-05 -5.983890686825607e-06 1
15 -1.925649823694254e-05 2.4679578948810247e-05 5.49991709929413e-06 3.3979689381010916e-05 2.0877781147864465e-05 8.921776478737734e-06 3.6582572280489046e-05 -2.9719076358071275e-05 1
16 -8.671119488727908e-06 -2.945921675519836e-05 -9.7452450788942e-06 -3.441715368890772e-05 1.587877367036011e-05 -5.5555674274693345e-06 -3.677015736256645e-05 -2.538947703018854e-05 1
17 2.4319672254484846e-05 4.0943525709756615e-06 4.991827229229467e-05 7.284656165018324e-05 1.036023583189991e-05 -2.4738453000796606e-05 -5.330115701828273e-05 6.6927865585958956e-06 1
18 -8.741733692215142e-06 -4.436372966613675e-05 -1.5302419976495204e-05 -3.519772160409632e-06 2.664950576969109e-05 3.926214186133615e-06 -3.965870925967208e-06 -2.589134382064529e-05 1
19 -1.1665840328745198e-05 -3.5315276515993876e-05 -1.3445637704580124e-06 4.419824783949707e-05 3.256863036822146e-06 2.456848777557644e-05 -1.2482389963478803e-05 -2.9623594160425617e-05 1
20 -2.9559255388020843e-06 -2.319269858477363e-05 5.321174331087911e-05 -2.0534666980609656e-05 2.0962230093408624e-05 -2.257317945217566e-05 2.3289325321856104e-05 9.623774152646579e-06 1
21 4.246893021090193e-06 -1.0729859055036264e-05 -1.636969238573476e-05 1.1151805037052014e-05 -1.13745870085195e-05 -3.0640144094181206e-05 -3.1948439357990487e-05 4.314697943052987e-06 1
22 3.616540661779847e-05 1.3430850767237324e-05 -2.9659581527470643e-06 7.145653490063572e-06 3.265004354267062e-05 5.484562534096409e-06 -1.027318077084343e-05 2.7657217751497223e-05 1
23 -7.724398498881563e-06 5.533611928408833e-05 4.580860930547653e-06 -3.0611725793012505e-05 -3.420397998114162e-05 4.127319830578124e-05 4.309164301958243e-05 -4.487980332065016e-06 1
24 -4.915637161013779e-05 5.716413901702524e-05 -2.76761420510872e-05 -2.236817547389566e-05 1.6083169867226112e-05 -9.86512807148974e-06 -1.2804666800178242e-07 -4.086072463112815e-06 1
25 -2.7240196152783452e-05 6.16293239392987e-05 2.264622672543639e-06 1.6098469831921446e-05 -5.125430252577556e-05 -1.2179600482529488e-06 -2.108075675732178e-05 -3.04703265105907e-05 1
26 -5.020764835451142e-05 -1.2233609539687275e-05 2.289756355890033e-05 -3.31598179434891e-05 7.657873148604362e-07 -1.2104235833339463e-05 -8.191827359049022e-06 2.5068945632615104e-05 1
27 -1.1693238317074001e-05 1.33556784527209e-05 -3.862641981247512e-06 -1.7398565291767577e-05 -5.596470422012488e-06 6.06241978178054e-06 4.414333961342776e-06 -2.7109701805834164e-05 1
28 -3.396687318599406e-06 1.2326128395452199e-05 6.293685093834802e-05 4.692111528204175e-05 -2.13310837639705e-05 -7.184584038729403e-06 -3.658605004592508e-05 -1.4767675349087163e-05 1
29 1.6759729214943237e-05 4.693438881104555e-06 -1.8227095943590214e-05 -1.6353661001694915e-05 -5.368222574346637e-05 -4.066648013622692e-06 -2.656036029648908e-05 -1.3235985684151844e-05 1
30 -1.3225880623720375e-05 -1.8124718573564032e-05 -4.394320978391579e-05 -3.6676131134774764e-05 5.323117780070745e-05 -3.2185564531850775e-05 -2.7419639461365993e-05 4.5922838208032855e-05 1
31 0.00010411863430237517 -3.447624875208572e-05 -9.206223919700764e-06 8.538888773512738e-06 4.321744111013981e-05 -2.4671426960705938e-05 -6.131946148552744e-06 1.94334394015436e-05 1
32 2.4667661575013542e-05 -8.761321428004943e-07 -3.3455741129010287e-06 -3.4372395209249545e-05 -5.954343599366631e-06 -6.6596872502238785e-06 5.804247240656399e-06 -1.3883180470475402e-05 1
33 3.227941721516972e-05 4.634405394662763e-05 3.885733191711651e-06 8.793910209980087e-06 1.3288836894466842e-06 2.1098272853545107e-09 -1.8038950838571188e-05 7.9123565418327e-06 1
34 1.5051434870549898e-05 8.356750923796104e-05 3.9333872561881064e-05 9.64616381391252e-06 -1.907643024236919e-05 -2.781028679958545e-05 2.977857382722163e-05 6.568730628678462e-06 1
35 3.368743487619567e-05 -2.361475157463713e-05 2.318596203895452e-05 1.1360508455359074e-05 -2.7760767110361952e-05 -1.1788120186248724e-05 6.59293010891299e-06 1.3116699589060908e-06 1
36 -4.766122325375994e-06 1.2339440951092832e-05 -6.299434455172134e-06 3.8140628025617146e-06 3.6787299324828926e-05 -6.416646102328244e-05 -5.921256612742106e-06 4.412810534311174e-06 1
37 5.990526058399346e-07 -8.062282906711109e-06 -4.391804456196457e-05 8.199887092852741e-06 4.3183755354104626e-05 -3.834653512290344e-05 2.159570034245471e-05 -8.213130578072348e-06 1
38 -3.4376019363970216e-05 -4.359894475371288e-05 -8.361404308896917e-06 3.2501114867473964e-05 1.4566381049692677e-05 4.33077901352486e-05 2.9435297224442343e-05 1.0977166973239405e-05 1
39 1.3134626821970847e-05 -7.93316901679749e-06 2.0699704419926476e-05 -7.414273838367709e-06 1.6636453964801207e-06 -1.7435595582506922e-05 2.4739598364871328e-05 -2.945759057787164e-05 1
40 7.853482384311385e-06 -1.1587970322061103e-05 2.9281177336682986e-05 1.8771724718281497e-05 4.551615394117004e-05 1.826936727846612e-05 -3.9301006391331016e-05 -1.673829322455021e-06 1
41 -6.970051346644234e-05 -3.079540814568298e-05 3.778071083191804e-05 1.59383452724424e-05 -1.747326071446866e-05 -2.5342934161009973e-05 8.195523219065199e-07 -3.0414003734528197e-05 1
42 -1.6296642246749243e-05 3.970716791158666e-05 2.8882800902667407e-05 1.5219036805610994e-05 -5.7282237714952504e-05 7.6091682257564955e-06 1.8008393308144481e-06 1.0347257134317327e-05 1
43 4.160695324476366e-05 -3.851978827075946e-05 -1.477758562977764e-05 1.4772658069833867e-05 -3.953985998634856e-05 3.689872620133772e-05 9.20891531751646e-06 2.1164599646085102e-05 1
44 -1.5628054880717457e-05 3.9860755418495364e-05 2.671178889972596e-05 5.821950503429209e-06 5.860022317467399e-06 6.758580982043148e-06 -2.158363161848454e-05 -3.6882170060088233e-06 1
45 2.8213437317882416e-06 1.7142772844420608e-05 2.4995606172757365e-05 -2.6463402049460233e-05 -3.125225757989441e-06 3.7036388691474334e-05 -1.8589705720314104e-05 -2.0556250432258008e-05 1
46 4.507122416242837e-05 1.8573372173989516e-05 2.856513890164833e-07 3.3224014760924734e-05 2.1419849564163173e-05 2.1045501672251547e-05 1.3852912533102332e-05 5.819132750865213e-05 1
47 3.22497151910134e-05 -4.482972597153304e-05 4.010635903792852e-05 -1.1442485773920641e-05 2.697011108575826e-06 3.2738767121513174e-05 -4.005648852647314e-05 -3.129118035265349e-05 1
48 -2.0074673378811642e-05 -1.3882956672209045e-05 1.099091515042484e-05 1.3104696070319275e-05 6.906854483213844e-06 -3.5319147097309165e-05 -5.775258591581611e-05 1.3588396347595567e-06 1
49 4.634799493324864e-06 -1.727023526040385e-05 1.7548840655531754e-05 3.4560358014670482e-06 1.9003327134396345e-05 5.7302843528767104e-06 1.3251617640036667e-05 -1.7616831571747062e-05 1
50 -4.784624003437445e-06 -1.2841034192226925e-05 2.051321188543547e-05 -9.843529305614303e-06 1.3029181393302817e-05 -6.645969797884476e-06 -2.938554183203259e-06 2.0737976050601828e-05 1
51 -5.242901520144779e-05 -4.200658579429176e-05 -3.705463493607052e-05 -5.834040299620762e-05 -1.695661100387942e-05 1.8735847493193512e-05 -7.122101659564369e-06 4.944752048546303e-06 1
52 7.100387845478921e-06 4.5100171921159456e-05 -1.7284483681534889e-06 3.383964723923493e-05 2.3031664608527302e-06 -2.0934955595686554e-05 -1.4860008804968382e-05 -3.701341281412541e-05 1
53 -4.3379393202752644e-05 2.8244203912041325e-05 2.008962548446504e-05 4.30192457791496e-05 -3.4554537884426e-05 9.820686706497975e-06 -2.601359847893836e-05 1.186742721158005e-05 1
54 -8.803952432190851e-06 -7.732805725040167e-06 2.320742478921211e-05 -1.5125017820218276e-05 -1.3347505959338866e-05 -2.6743810282242247e-05 -1.635708191718889e-05 1.069726101737293e-05 1
55 -2.817094907706177e-05 2.838117296929098e-05 9.048046348221092e-06 3.3016541388204175e-05 -8.569653771609483e-06 -3.6921445421143296e-05 2.6680560414299577e-05 -8.287204302431367e-06 1
56 2.4475612441705896e-07 2.9095616866066686e-05 -3.278438255083623e-06 8.719397351157378e-06 4.8775314003157494e-05 5.192451322634383e-05 1.7345283783194677e-06 4.004764832926882e-06 1
57 4.671792007037908e-06 -1.408849216109241e-05 8.326759315456378e-06 -6.465711988464101e-07 7.847705286438841e-06 -2.0834220148735146e-05 -3.973918733272422e-05 -5.1824585899782294e-05 1
58 -2.501801621002926e-05 -2.4699075983108184e-05 -7.329789666219046e-06 4.843077906073793e-05 2.7649834247682453e-05 -2.4052277908540682e-05 8.692711311273924e-06 -1.0176955908758128e-05 1
59 -3.105117988562166e-06 -2.8590080195162603e-05 1.5479277924384833e-05 -8.481462097100384e-06 2.6596288318358965e-05 -2.85484556535601e-05 1.5847655905671106e-07 6.494184316489581e-05 1
60 2.7515651111841086e-05 4.237993873492654e-06 2.2880044543302046e-06 1.4519427383244918e-05 -1.4195798598172884e-06 -4.260189529105111e-06 -1.948705991813549e-05 1.075753397393883e-05 1
61 -1.3736024041559944e-05 1.1590866778320384e-05 2.713217511114775e-05 9.163285180930749e-06 -7.156218338892297e-06 1.1349139482717403e-05 -7.716826388660316e-06 2.3388678136628734e-05 1
62 -1.526241009300139e-05 6.051902038283837e-07 -4.9770299878099945e-05 -3.737652075568013e-05 3.409655574534774e-05 2.237962454929215e-05 -1.798700583211976e-05 -3.756258640102242e-05 1
63 -6.562493203019272e-05 -4.839795284587231e-06 6.0510375306185064e-05 1.0872106786591185e-05 -1.3989307151237239e-05 1.1627005237507657e-05 -3.902395882486107e-05 -7.433084067440886e-06 1
64 1.3926158956140819e-05 2.1840807250350666e-05 1.9770153042252017e-05 8.61613065590131e-06 1.6708150452699923e-05 -1.7209307055768985e-05 2.2445385210263704e-05 4.0723423690599785e-05 1
65 -2.6865268461682617e-05 1.415196255743186e-05 3.3394608408005825e-05 -4.783599667376507e-06 3.509553480166393e-05 -1.1063392797304598e-05 3.6376139406767785e-05 3.287145420136305e-06 1
66 1.400577205334818e-05 4.075662340045037e-05 -9.044261936104282e-06 -2.352805239812396e-05 -1.1214105200708858e-05 1.1308348766078467e-05 -3.914397680451286e-05 1.593677256627804e-05 1
67 -3.005577961651001e-05 3.052571309238617e-05 -5.985650762251179e-05 -1.966414437760422e-05 -4.216170378085255e-05 -2.0655736659098814e-05 6.191647527723578e-06 -4.480665636243873e-06 1
68 -1.0485683684157579e-05 7.791460404727376e-06 5.084706015498586e-06 -2.5213401048577696e-05 1.767124102247627e-05 1.65666492596371e-05 9.625948441402525e-06 1.3913336068781579e-05 1
69 -1.1522418655937828e-05 3.367956025426906e-05 -2.1773542763127477e-06 -7.677080458364419e-06 -1.883818950893445e-05 -2.5806566764445922e-05 -3.1111794690026886e-05 -2.2219932830772962e-05 1
70 -8.419156969131995e-06 -2.776878272335898e-05 1.2785514638040447e-06 -1.9138381935742824e-05 2.2504614100499083e-05 1.848531680752369e-05 -3.991207685550425e-06 -1.63229036166178e-05 1
71 -1.7333153617930796e-06 -1.4770439144624155e-05 -3.620318148537619e-05 -1.6995063996101225e-06 6.550895301859526e-06 -2.2492369662193845e-05 4.746084820936075e-06 -3.637056213144473e-05 1
72 3.3584050123876596e-05 3.234966208735807e-05 -6.312933357574119e-06 9.08635844597683e-06 -6.024804914499688e-05 -2.890869150663332e-05 -7.344473003803246e-06 -2.680332553567148e-05 1
73 3.751628373221722e-05 3.027929688594198e-05 -2.9415367985732552e-05 -2.093658510212982e-05 5.8862092077482584e-06 4.027790371249052e-05 -3.055935781349758e-05 6.22590305767355e-06 1
74 7.14635837026888e-05 -2.0836458430434965e-05 -3.2026730171145804e-05 -1.0590165161520957e-05 -1.3014710321385276e-05 2.0315032193841117e-05 6.041492995520952e-06 -4.437405149105321e-05 1
75 4.139297372791763e-05 6.814174805646073e-06 3.186118042353098e-05 -1.568968841092299e-05 -1.5915382077555893e-05 1.3528290270113286e-05 1.9073162058423415e-05 1.120248409840509e-05 1
76 -2.019439496193777e-05 1.9412593140820954e-05 -2.5857701291859975e-05 5.8819027897065875e-06 -3.559336088497651e-05 1.1158053688576592e-05 -2.0164972607684314e-05 -3.2065866256513046e-05 1
77 3.881978058408941e-05 1.864811948907389e-05 -1.534942003482243e-05 3.6279471225526606e-05 -1.1016310539243562e-05 8.026918492733666e-07 6.722836191965024e-06 -1.549164835321534e-05 1
78 3.8835514327308394e-05 -1.776923884467217e-05 -1.029095805540523e-05 3.406606599508353e-05 -2.601465131281083e-05 -6.0319508273237256e-05 4.027342487529736e-05 6.373319881517508e-05 1
79 9.167680179626295e-06 -6.557016362188919e-05 -7.762099404898595e-06 -7.155573746016731e-06 -4.748096025556426e-06 -2.7834701048046208e-05 1.4489028561911935e-05 1.3112684382152155e-05 1
80 -4.8429067617948424e-05 -1.079229982983942e-05 5.131712454864728e-05 4.299008310926496e-06 -8.433129051712652e-06 -3.550080360188033e-06 1.538141917421403e-05 -4.326679013768046e-05 1
81 -1.8548732899433317e-05 -4.38437174608582e-05 4.619562532390114e-05 -4.354318345123947e-06 4.1697190277988e-05 -2.759351744455018e-05 1.4681479170069807e-05 7.98500659478072e-06 1
82 -5.3285640844837404e-05 -2.4541040762838432e-05 3.0312970920790012e-05 -8.094792607165018e-06 -4.229906622924408e-05 -4.3907066193614774e-07 -2.2560577369812815e-05 -8.55852346659706e-06 1
83 -1.940009375973149e-05 -4.9338798884585445e-05 -4.039145848301695e-05 1.2051670888138133e-05 -1.306796740424201e-05 -6.411860854551418e-05 1.9621100915203376e-05 6.8092438818559965e-06 1
84 -5.117361913176807e-05 -9.479873256503853e-06 2.089519740785843e-05 8.73376556401074e-06 5.9565057067101834e-05 1.0504714968123435e-05 9.692578531550372e-06 -4.1731982527141285e-06 1
85 1.0675422834129384e-05 4.222425022886028e-05 3.129312521412988e-05 -1.303307296593212e-05 -1.0885186823599058e-05 -1.1977579272799503e-05 1.977004302947473e-05 3.7459361007418304e-05 1
86 -1.445129057885775e-05 1.3765500932922787e-05 7.85193059674498e-06 -6.144037500322536e-06 2.380134132849725e-05 -5.6294432265476174e-05 -2.0667626172922365e-05 -1.9560408349036147e-05 1
87 -6.079309951595106e-05 -1.754330792502967e-05 -2.2878902896148154e-05 -5.027616362970759e-06 2.782414729150659e-05 -6.126516279767559e-06 -2.5770343006778846e-05 -1.4238635303382246e-06 1
88 5.5198719025463636e-05 -2.5410679657428217e-05 -2.2764372098036215e-05 1.3963723981855586e-05 -5.538402893270013e-06 1.6187117267736858e-05 -3.4116979488241904e-07 1.7541591202239176e-05 1
89 -1.8934052414037258e-05 -5.466743498639782e-06 -5.267250359078921e-06 -3.039727310260327e-05 -3.908694869671721e-05 1.7143725881866545e-05 -8.773809555449453e-06 -2.555700704118324e-05 1
90 4.001472901135208e-05 9.842508007490165e-06 -5.701844613429808e-05 -3.741596724758316e-05 -2.307216104738169e-05 3.652947166800823e-05 7.064674572982413e-06 1.9182931011530673e-05 1
91 -2.300993150406439e-08 -5.87417909235484e-05 1.119534291806776e-05 1.456858273386164e-06 1.3718470471603165e-05 -4.691774773211304e-06 6.953593161365675e-06 3.952977122627729e-06 1
92 1.8754626434755143e-05 -2.5240947903089092e-05 -4.049679985979425e-05 -5.618171388352139e-05 2.5043634941287682e-05 2.9693127331548414e-05 -2.551557548783344e-05 -4.6495885163640716e-05 1
93 2.9431320260184264e-05 1.0818589301454806e-05 4.4939863060857866e-05 1.2907439302536275e-05 -9.292917414642374e-06 -2.232826553962157e-05 2.862822917663604e-07 -7.48161759713141e-06 1
94 -1.5728056776125802e-05 5.6389279352569605e-05 4.462921005180328e-05 2.840121708888571e-05 -2.302125994522819e-05 2.137548310743197e-05 1.5990660237447547e-05 1.1063640605101325e-05 1
95 1.5733936099973442e-05 2.90243366506507e-05 1.8500355907608387e-05 1.5922657084305255e-05 8.519785200052648e-06 -4.459027824285459e-05 2.090526935263931e-06 -1.390479897122813e-05 1
96 -6.198499739364612e-05 6.447680109716882e-05 4.322488352214259e-05 3.39805150073903e-05 6.380335421396866e-06 3.376562802381642e-05 3.0132951504563856e-07 5.069931922444485e-06 1
97 -6.87406759802982e-05 3.9552102218515414e-05 1.5096482106104275e-06 -3.256630292086161e-05 -1.2799277954149226e-06 -1.993239096420212e-06 4.4939029166116006e-05 2.235533321283524e-05 1
98 -1.8798745526234294e-06 1.4526650778182534e-05 1.1053094526049514e-06 -5.072849619888694e-06 -2.7060679934707172e-05 -3.7762969401732314e-06 -1.8652456416312836e-05 -3.125788847307866e-05 1
99 -1.8480079772739493e-05 1.241749613878249e-05 -4.466768778420195e-05 -3.0671159373781807e-06 2.489253464749809e-05 2.648059347240802e-05 2.564592107213097e-05 9.72830172536495e-07 1
100 -4.7370152554165225e-05 -6.286673368079563e-05 8.615122618758937e-06 9.482000859129076e-06 3.2183277790126636e-05 2.749949125855209e-05 -3.305716413279303e-06 -3.110514697152174e-05 1
101 -7.911337160647186e-06 -2.442567371745222e-05 -5.0520811347351025e-06 -1.4447352701941396e-05 6.322120374247473e-06 -1.2598943535265263e-05 -1.570165209313435e-05 7.78632085758599e-06 1
102 -1.750587776698946e-05 -3.667743562005045e-05 6.830100571303068e-06 -2.8485725027289368e-05 -1.2031028096635304e-05 3.5944423497911564e-05 -2.905198781835718e-05 -5.2916361224263276e-05 1
103 -3.75093229215545e-05 -1.5152640583471418e-05 7.729319508174728e-07 -2.9402713856280236e-06 3.0354745723212542e-05 -6.682086082757345e-05 9.89834686077059e-06 3.903595504508933e-05 1
104 7.072673094534098e-06 -1.5591472753271528e-05 -1.8822297930715523e-05 -2.235865115193822e-05 -8.156550125576e-06 3.568713209211262e-05 4.593466688718801e-05 -8.398480626003694e-06 1
105 7.936574798965574e-05 3.255900173141149e-05 4.3842275667527025e-05 -2.3324662413372944e-06 3.2764456511536075e-06 9.136861816070865e-06 7.947134198418839e-05 2.1282139371119728e-05 1
106 2.2917332401682443e-06 5.501993132422105e-05 -9.045813427108538e-06 -1.2243754572530229e-05 2.271503399730278e-05 7.771396942788197e-07 6.964397862795152e-06 3.4963054663231153e-07 1
107 2.4718107393603206e-05 4.5826502528244784e-05 -4.8424173317635386e-05 1.666431671523834e-05 -2.4550485495757515e-05 -3.605747838898528e-05 -1.460281096467061e-06 2.099525082861357e-06 1
108 -1.6398543073105455e-05 3.0948931331181164e-05 -3.3554379159272675e-05 -1.0173593719313975e-05 -1.4621853373325017e-05 -1.1646817584834842e-06 6.97160711618097e-06 -2.5197323740588617e-05 1
109 1.1043851299560548e-05 -9.952915800774933e-06 -4.729865633279776e-05 -4.896478600992578e-05 -3.079823232327809e-07 -5.524182944658852e-06 -2.5855028393658376e-06 -6.995614132554495e-07 1
110 -1.9084980129582478e-05 -3.5527795914197085e-06 -2.7777622522938958e-05 -2.929928982251987e-05 -2.7333096447184563e-05 7.222916679217673e-06 3.112368446616114e-05 -1.0783485955987763e-05 1
111 -9.297695839837727e-05 -6.617787159785152e-05 -2.0825918069900292e-05 -1.394322218738037e-05 -1.020971568136816e-05 9.645280745229266e-07 -7.793658270561178e-06 2.6233490263585182e-05 1
112 -5.061208929149009e-05 -2.988176349131603e-05 1.1971888463011542e-05 -3.839105174815298e-05 9.742292633000056e-06 2.5638295931566715e-06 -3.6860622479541857e-06 3.970690267873156e-05 1
113 -4.8262852698021526e-05 3.843644348106365e-05 -5.635786230702482e-06 -3.19254111242557e-05 1.7479895248706325e-06 -2.6906130007969206e-05 -1.8793896195337506e-05 9.925832500387278e-06 1
114 5.7863710714322095e-06 -2.1090654735516444e-05 2.4685128626160018e-05 2.893769395052835e-05 3.590754391408228e-05 1.3235335178143054e-05 3.408571780214247e-05 -4.701996069935144e-05 1
115 -8.395710930476247e-06 -9.236024638464237e-06 2.9806465281848024e-06 -1.4286230479918433e-05 -4.15394604874331e-06 4.705437200510124e-05 -4.2429949105094575e-06 1.0344807929755349e-05 1
116 -1.132030970204217e-05 2.6987417073956847e-05 1.5041701090178648e-07 1.1208101649328987e-05 2.9132688388679425e-05 4.1184849940083237e-05 7.740502047729172e-06 1.4738672150890055e-05 1
117 -2.56008088604769e-05 4.5547823590119446e-05 2.3507236622089727e-05 2.1649215960428833e-05 5.2902433198762555e-06 2.215984898919881e-05 1.2269167724845472e-05 3.000765645648304e-05 1
118 2.931696928998909e-05 2.3202632322726358e-05 8.396031423325592e-06 -7.32648593963194e-05 9.572143409626236e-06 -9.121032063036959e-05 -4.308658518513545e-05 1.1294215023524604e-05 1
119 6.132035837595181e-05 -2.1503337014190535e-05 -1.780255104697347e-05 3.42635247153533e-05 -1.2100753289316904e-05 5.607300781007463e-05 -4.799632940865373e-08 1.020090442203167e-05 1
120 5.698256516038246e-05 -7.305976019420506e-06 -2.5058599517270032e-05 -2.743186292357253e-06 -8.902684047522734e-07 -3.411854130503914e-05 -6.395801783520585e-06 -1.8554802349935917e-05 1
121 4.2339185608602356e-05 -2.0367537600145956e-05 -7.069893728689252e-06 -2.6545482655644067e-06 5.5780504601541535e-06 1.5420354992244494e-05 -2.4992805716734536e-05 -2.60396908155318e-05 1
122 3.944181241332847e-05 -3.3556696515018894e-05 -3.5421052314921856e-05 1.1095317734577616e-05 1.1584245150817174e-05 -3.826788143141766e-05 5.737042886590158e-06 1.8389577310709342e-05 1
123 7.223959232725244e-06 -1.0452722880010667e-05 -3.510672745226873e-05 8.27600387490489e-06 -7.565493986761164e-06 -1.2069753968116121e-05 2.1763890235493163e-05 3.698186276685575e-05 1
124 2.7382587127536503e-05 1.6295448691104913e-05 -2.743354540754592e-06 8.818004075658577e-06 1.9170571794606093e-05 3.029448732486549e-06 3.2691046977886094e-06 2.0593828296904553e-05 1
125 -1.2322221632560962e-05 9.055832676861931e-07 -1.0361826645896464e-05 1.584775944334356e-05 7.48322799988933e-08 8.505249421708446e-06 1.6751981055054746e-05 -9.37103657244024e-06 1
126 -4.3081224485446375e-06 3.238783158436532e-05 -3.0870327172786965e-05 3.605761977965611e-05 -1.2518618593922904e-05 -4.1377383579629594e-05 -2.612609273965756e-05 -2.552612901695805e-05 1
127 -1.82177220590018e-05 3.118722149861344e-05 -8.420799191014821e-06 1.5492549137061974e-05 8.496884029817595e-06 7.901196766107156e-06 1.0245711433217318e-05 1.540336670005596e-05 1
128 -6.979556963821044e-05 3.159246424465606e-05 -5.450525161223685e-05 9.014981699448854e-07 -1.1582430560863301e-07 2.613830686974201e-05 2.969085981802802e-05 5.0693762063091835e-06 1
129 -1.7266208258909213e-05 2.860917688224453e-05 -1.3197940933107838e-05 -3.4816286083722474e-08 2.4653407924019195e-05 -1.394428364973559e-05 2.0141965981062523e-05 1.693503421730756e-05 1
130 -9.836571581735812e-06 2.2161898559243027e-05 1.746415863428763e-05 2.548147184316436e-06 -1.9058086450691308e-05 -2.148015046438925e-05 -1.3441564422575562e-05 1.3564861582299001e-05 1
131 -1.159558224491412e-07 2.210770501576701e-05 -3.104388822195982e-05 -5.101714610971224e-06 2.741193864350216e-06 6.112825362647292e-05 -3.443289138800919e-05 3.680036416225334e-05 1
132 4.783778067089885e-05 -1.6181628024773614e-05 2.9586978347051127e-06 1.1118170454880826e-05 -3.842127609050444e-06 3.6351254536436455e-05 -1.141177860561806e-05 2.8305864304481193e-05 1
133 2.3450074809058092e-05 -3.85011879688653e-05 -2.679906380725548e-05 1.1375593008687999e-05 3.612814892316335e-05 -1.933904495521352e-06 -4.922142467597739e-06 -2.786542407669817e-05 1
134 1.642869032560504e-05 -5.696634115258269e-05 -2.2821949667970683e-05 5.669651152728386e-06 3.2975329943534905e-05 7.023027153073757e-05 -1.4664627126772518e-05 3.5882503916136e-05 1
135 3.952389673651216e-05 1.4318440213825923e-05 1.0814861293153806e-05 1.5479120919989796e-06 2.759893140305463e-06 -1.020832907066673e-05 -3.495274149497127e-05 -3.859063006305204e-05 1
136 3.9828906006865314e-05 -1.2078159739340545e-06 -1.4902222491404167e-05 2.126406680788392e-07 1.987330632289069e-05 4.509098575659955e-06 -1.6401373416024184e-05 3.0657323891223745e-05 1
137 6.342262405738185e-05 3.297734622254024e-05 2.4341587783602253e-05 3.104899992034528e-05 2.8252482910112844e-05 1.535247942781559e-05 1.4958676176872073e-05 1.2991514333662566e-05 1
138 -4.495077349790652e-05 5.621429568065624e-05 -3.389534927816385e-05 -1.9864986378126376e-05 3.258912669520219e-05 2.100550406735494e-05 3.718495724214657e-05 -6.791859592182306e-06 1
139 -4.2250296017498976e-05 8.544038552879325e-06 2.550782431014355e-06 1.9747179085002425e-06 2.8342011968917543e-05 -9.031760625086138e-06 8.800861795073106e-06 -2.4715678735865153e-05 1
